x,numerical_real,numerical_imag,exact,error_abs
-7.3903810118675830e+00,1.2225729924705044e-10,1.4254557543842204e-10,1.0366277474646992e-12,1.8711945990698387e-10
-7.3803872579637728e+00,1.1462160348735935e-10,1.5103551515828068e-10,1.1160331922866764e-12,1.8893184307346635e-10
-7.3703935040599626e+00,1.0651690746943242e-10,1.5891691284818491e-10,1.2014010796838011e-12,1.9064611476588444e-10
-7.3603997501561524e+00,9.7975880791216603e-11,1.6615634144875642e-10,1.2931697867364052e-12,1.9223807221986900e-10
-7.3504059962523423e+00,8.9033469190968119e-11,1.7272304961303916e-10,1.3918092084108470e-12,1.9368611832582781e-10
-7.3404122423485321e+00,7.9726015950617957e-11,1.7858883085753231e-10,1.4978229701717689e-12,1.9497082008353509e-10
-7.3304184884447219e+00,7.0091500577232287e-11,1.8372875530477581e-10,1.6117507920004511e-12,1.9607583139308666e-10
-7.3204247345409117e+00,6.0169449754856628e-11,1.8812089184071587e-10,1.7341710138975304e-12,1.9698769440876227e-10
-7.3104309806371015e+00,5.0000790525371467e-11,1.9174604358879045e-10,1.8657032935996362e-12,1.9769555345218214e-10
-7.3004372267332913e+00,3.9627608366752592e-11,1.9458830373481657e-10,2.0070114879310124e-12,1.9819161753190276e-10
-7.2904434728294811e+00,2.9092703251026374e-11,1.9663481448512969e-10,2.1588067299461243e-12,1.9847086700422715e-10
-7.2804497189256718e+00,1.8439230211367243e-11,1.9787594326351861e-10,2.3218507147999582e-12,1.9853125407417243e-10
-7.2704559650218616e+00,7.7114422366099902e-12,1.9830548651237302e-10,2.4969592081116237e-12,1.9837403261052959e-10
-7.2604622111180515e+00,-3.0461066304027002e-12,1.9792076670847563e-10,2.6850057914673574e-12,1.9800372608631119e-10
-7.2504684572142413e+00,-1.3788742098578176e-11,1.9672220231723525e-10,2.8869258606442523e-12,1.9742771534521053e-10
-7.2404747033104311e+00,-2.4471399949183133e-11,1.9471349065852405e-10,3.1037208931280740e-12,1.9665637730288636e-10
-7.2304809494066209e+00,-3.5049311969437177e-11,1.9190171268067833e-10,3.3364630025528512e-12,1.9570318099095344e-10
-7.2204871955028107e+00,-4.5477905151787959e-11,1.8829710136679570e-10,3.5862997988078955e-12,1.9458441507626301e-10
-7.2104934415990005e+00,-5.5712953862139061e-11,1.8391323849684995e-10,3.8544595737454415e-12,1.9331931108360801e-10
-7.2004996876951903e+00,-6.5710621074923579e-11,1.7876715416350196e-10,4.1422568336811696e-12,1.9192998713028591e-10
-7.1905059337913801e+00,-7.5427849187887727e-11,1.7287889679614201e-10,4.4510982012171725e-12,1.9044095986274199e-10
-7.1805121798875700e+00,-8.4822218866171424e-11,1.6627131393421860e-10,4.7824887103340964e-12,1.8887867390810044e-10
-7.1705184259837598e+00,-9.3852212143690438e-11,1.5897034623565719e-10,5.1380385202041075e-12,1.8727156940866758e-10
-7.1605246720799505e+00,-1.0247774900266225e-10,1.5100474611470982e-10,5.5194700747711272e-12,1.8564975808663774e-10
-7.1505309181761403e+00,-1.1066002785220441e-10,1.4240593095771531e-10,5.9286257368371193e-12,1.8404446016557820e-10
-7.1405371642723301e+00,-1.1836185646332537e-10,1.3320836610986486e-10,6.3674759271867981e-12,1.8248801374403378e-10
-7.1305434103685199e+00,-1.2554719184001089e-10,1.2344884207102559e-10,6.8381278011859573e-12,1.8101240141266256e-10
-7.1205496564647097e+00,-1.3218184363842096e-10,1.1316639494446708e-10,7.3428344973043463e-12,1.7964901545403706e-10
-7.1105559025608995e+00,-1.3823345763097461e-10,1.0240239263595279e-10,7.8840049941521348e-12,1.7842803283557533e-10
-7.1005621486570893e+00,-1.4367152590858876e-10,9.1200190497315097e-11,8.4642146148838006e-12,1.7737744583619399e-10
-7.0905683947532792e+00,-1.4846801697756424e-10,7.9604921526857510e-11,9.0862162202242213e-12,1.7652274621090691e-10
-7.0805746408494690e+00,-1.5259696576925012e-10,6.7663676895875692e-11,9.7529521339152064e-12,1.7588595456782212e-10
-7.0705808869456588e+00,-1.5603407849567404e-10,5.5425166501376888e-11,1.0467566847075356e-11,1.7548432119009394e-10
-7.0605871330418486e+00,-1.5875818181231613e-10,4.2939141235109983e-11,1.1233420550821416e-11,1.7533087213607247e-10
-7.0505933791380384e+00,-1.6074947030347233e-10,3.0256374059609525e-11,1.2054103549521408e-11,1.7543238956248094e-10
-7.0405996252342282e+00,-1.6199170198924752e-10,1.7428536016474168e-11,1.2933451610253815e-11,1.7579124901281826e-10
-7.0306058713304189e+00,-1.6247071183117487e-10,4.5079669232547500e-12,1.3875562307435314e-11,1.7640388365438846e-10
-7.0206121174266087e+00,-1.6217536189140279e-10,-8.4525489928729264e-12,1.4884812425172008e-11,1.7726181459494533e-10
-7.0106183635227985e+00,-1.6109659395276367e-10,-2.1399643098304602e-11,1.5965876483686688e-11,1.7835095503471150e-10
-7.0006246096189884e+00,-1.5922825611235832e-10,-3.4280305284818808e-11,1.7123746460199836e-11,1.7965291019566573e-10
