x,y,numerical_real,numerical_imag,exact,error_abs
-5.0909090909090908e+00,-7.8677685950413228e+00,-2.1964209663192468e-13,3.7947152832528421e-14,4.8055326927222494e-20,2.2289607024555377e-13
-4.9586776859504127e+00,-7.8677685950413228e+00,-4.2684146768448779e-13,7.3756472030972835e-14,9.3390392957752833e-20,4.3316709873592298e-13
-4.8264462809917354e+00,-7.8677685950413228e+00,-8.1519761257291037e-13,1.4082579889510921e-13,1.7834837950795866e-19,8.2727223086321273e-13
-4.6942148760330582e+00,-7.8677685950413228e+00,-1.5298739831416850e-12,2.6425114661382334e-13,3.3468976435733009e-19,1.5525282918024274e-12
-4.5619834710743801e+00,-7.8677685950413228e+00,-2.8212734809376338e-12,4.8727943878087787e-13,6.1719442160130877e-19,2.8630453695758037e-12
-4.4297520661157019e+00,-7.8677685950413228e+00,-5.1124897492101475e-12,8.8298069904501770e-13,1.1184275379006579e-18,5.1881805853848957e-12
-4.2975206611570247e+00,-7.8677685950413228e+00,-9.1038359433581329e-12,1.5723338087040874e-12,1.9915903329707803e-18,9.2386199592688448e-12
-4.1652892561983474e+00,-7.8677685950413228e+00,-1.5930230578111716e-11,2.7514091151155303e-12,3.4849653603026293e-18,1.6166094439386465e-11
-4.0330578512396693e+00,-7.8677685950413228e+00,-2.7392195766783350e-11,4.7311604199686623e-12,5.9924334558112426e-18,2.7797780417456324e-11
-3.9008264462809912e+00,-7.8677685950413228e+00,-4.6284751969551557e-11,7.9942963352066857e-12,1.0125448582000169e-17,4.6970075325528922e-11
-3.7685950413223139e+00,-7.8677685950413228e+00,-7.6852079906140485e-11,1.3273904745770105e-11,1.6812473912185720e-17,7.7990007803865743e-11
-3.6363636363636367e+00,-7.8677685950413228e+00,-1.2539476591781401e-10,2.1658184077216113e-11,2.7431861065895374e-17,1.2725144846613846e-10
-3.5041322314049586e+00,-7.8677685950413228e+00,-2.0105246949531812e-10,3.4725770598353045e-11,4.3983037614237453e-17,2.0402939082302299e-10
-3.3719008264462804e+00,-7.8677685950413228e+00,-3.1677116282307415e-10,5.4712695780442655e-11,6.9298122031374978e-17,3.2146149470682179e-10
-3.2396694214876032e+00,-7.8677685950413228e+00,-4.9044255465868080e-10,8.4709263660183166e-11,1.0729117692403496e-16,4.9770439420434384e-10
-3.1074380165289259e+00,-7.8677685950413228e+00,-7.4616859413715949e-10,1.2887832995750083e-10,1.6323483754915684e-16,7.5721690314645292e-10
-2.9752066115702478e+00,-7.8677685950413228e+00,-1.1155578985424147e-09,1.9267939989225106e-10,2.4404391964566350e-16,1.1320756691288397e-09
-2.8429752066115697e+00,-7.8677685950413228e+00,-1.6389041549530087e-09,2.8307185535305312e-10,3.5853324369220212e-16,1.6631709712529947e-09
-2.7107438016528924e+00,-7.8677685950413228e+00,-2.3660356945374395e-09,4.0866210858892842e-10,5.1760345557248192e-16,2.4010689444825162e-09
-2.5785123966942152e+00,-7.8677685950413228e+00,-3.3565670649402029e-09,5.7974682450414411e-10,7.3429606709857988e-16,3.4062668379609452e-09
-2.4462809917355370e+00,-7.8677685950413228e+00,-4.6792436388402756e-09,8.0819967569825279e-10,1.0236501052793165e-15,4.7485279115999186e-09
-2.3140495867768589e+00,-7.8677685950413228e+00,-6.4100628615443247e-09,1.1071470193773053e-09,1.4022910654776103e-15,6.5049748953409189e-09
-2.1818181818181817e+00,-7.8677685950413228e+00,-8.6288956591297923e-09,1.4903842360743752e-09,1.8876918326532778e-15,8.7566613526322499e-09
-2.0495867768595044e+00,-7.8677685950413228e+00,-1.1414435705106625e-08,1.9715032164052943e-09,2.4970677450044576e-15,1.1583446136774414e-08
-1.9173553719008263e+00,-7.8677685950413228e+00,-1.4837474102215583e-08,2.5627309956158350e-09,3.2459053456045920e-15,1.5057168532359987e-08
-1.7851239669421481e+00,-7.8677685950413228e+00,-1.8952730969682972e-08,3.2735187309889920e-09,4.1461754489059011e-15,1.9233358865627934e-08
-1.6528925619834709e+00,-7.8677685950413228e+00,-2.3789752367310994e-08,4.1089698312274852e-09,5.2043416436471140e-15,2.4142000712284423e-08
-1.5206611570247937e+00,-7.8677685950413228e+00,-2.9343664046224537e-08,5.0682423253722786e-09,6.4193376473499042e-15,2.9778147636483394e-08
-1.3884297520661155e+00,-7.8677685950413228e+00,-3.5566821972525282e-08,6.1431071027960212e-09,7.7807406369875613e-15,3.6093450147834641e-08
-1.2561983471074374e+00,-7.8677685950413228e+00,-4.2362548419123835e-08,7.3168660109813079e-09,9.2674010212769438e-15,4.2989799045434022e-08
-1.1239669421487601e+00,-7.8677685950413228e+00,-4.9582154508197404e-08,8.5638375111178427e-09,1.0846791000358302e-14,5.0316303860739230e-08
-9.9173553719008289e-01,-7.8677685950413228e+00,-5.7026275605501584e-08,9.8495872759188546e-09,1.2475296782860740e-14,5.7870648015899638e-08
